Uuid,Void/Retire,Mappings|NARROWER-THAN,Mappings|SAME-AS,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Absolute low,Critical low,Normal low,Normal high,Critical high,Absolute high,Units,Allow decimals,Display precision,_version:19,_order:1000,Mappings|BROADER-THAN,Mappings|ASSOCIATED-WITH,Answers,Members
167441AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:399256002,CIEL:167441;LOINC:32290-9,"HIV DNA polymerase chain reaction, dried blood spot (DBS)","Réaction en chaîne par polymérase de l'ADN du VIH, goutte de sang séché (DBS)","HIV DNA PCR, DBS",,,,Test,Coded,,,,,,,,,,,,,,1138AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;664AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;703AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1340AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,AMPATH:1340;SNOMED CT:310540006;CIEL:1340;IMO ProcedureIT:1070469;LOINC:713-6,Eosinophils (%) - microscopic exam,Eosinophiles (%),,,"A type of white blood cell found in vertebrate blood, containing cytoplasmic granules that are easily stained by eosin or other acid dyes.  This is a microscopic exam.",,Test,Numeric,0.0,,,,,100.0,%,No,,,,,,,
166377AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,CIEL:166377;IMO ProcedureIT:927281;SNOMED CT:250346004;LOINC:3255-7,Fibrinogen assay,Dosage fibrinogène,,,,,Test,Numeric,,,,,,,,No,,,,,,,
5d1ca28b-a870-4d37-8d4c-50f50fe17d90,,SNOMED CT:395145001,IMO ProcedureIT:88194046;CIEL:167894;LOINC:10886-0,Free prostate specific antigen (PSA) measurement (ng/mL),,Free PSA measurement,,,,Test,Numeric,,,,,,,ng/ml,Yes,,,,,,,
161132AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:80274001,SNOMED CT:12341000;CIEL:161132;IMO ProcedureIT:33999951;LOINC:50044-7,Glomerular filtration rate,,GFR,,"The rate of fluid filtration from the glomerular capillaries to the Bowman's capsule, derived with the help of nuclear scan",,Test,Numeric,0.0,,,,,,ml/min/1.73m2,Yes,,,,,,,
161234AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,SNOMED CT:121912002;CIEL:161234;LOINC:47232-2,Hepatitis B virus DNA test,,,,,,Test,N/A,,,,,,,,,,,,,,,
159644AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,AMPATH:6126,SNOMED CT:43396009;CIEL:159644;IMO ProcedureIT:923077;LOINC:4548-4,Glycosylated hemoglobin A measurement,Mesure de l'hémoglobine glyquée,HbA1c,,Glycosylated hemoglobin A (HbA1c) test is measured in percent and is gives an indication of average serum glucose levels over several months.,,Test,Numeric,0.0,,,,,,%,Yes,,,,,,,
92585f1c-e11d-497c-8708-c30366b12732,,,LOINC:53115-2,Immature granulocytes count (10^3/uL),,,,,,Test,Numeric,0.0,,,,,,10^3/uL,No,,,,,,,
b1273f55-09dd-40b7-9dde-ad14bc410cfc,,,LOINC:71633-2,Mycobacterium tuberculosis stimulated gamma interferon (IGRA),,,,Qualitative interpretation of MTB stimulated gamma interferon from whole blood.,,Test,Coded,,,,,,,,,,,,,,703AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;664AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1138AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
164395AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,CIEL:164395;LOINC:75873-8,Line probe assay for tuberculosis DST,,,,Line probe assays are tests that use PCR and reverse hybridization methods for the rapid detection of mutations associated with drug resistance. Line probe assays are designed to identify M. tuberculosis complex and simultaneously detect mutations associated with drug resistance. - See more at: http://www.tbfacts.org/drug-susceptibility/#sthash.5AeY4QuX.dpuf,,Procedure,N/A,,,,,,,,,,,,,,,
161515AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:271232007,CIEL:161515;LOINC:3040-3,Lipase test,,,,,,LabSet,N/A,,,,,,,,,,,,,,,1013AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
163592AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,SNOMED CT:269871000;CIEL:163592;LOINC:4300-0,Serum lithium,lithium Serum,,,Lab test to measure the amount of lithium in the blood.,,Test,Numeric,,,,,,,mmol/L,No,,,,,,,
1338AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,AMPATH:1338;SNOMED CT:271036002;CIEL:1338;IMO ProcedureIT:1064629;LOINC:736-9,Lymphocytes (%) - microscopic exam,Lymphocytes (%),,,Agranulocytic leukocyte that normally makes up about 25% of the total white blood cell count but increases in the presence of infection.  This is a microscopic exam.,,Test,Numeric,0.0,,,,,100.0,%,No,,,,,,,
62f39012-cf08-4bd1-8b56-8a6ef74448b7,,,LOINC:39241-9,"Cannabinoids (marijuana) screening, urine",,,,,,Test,Coded,,,,,,,,,,,,,,163748AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;163747AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
bd1e0c82-8eeb-4f13-962d-f9c9aa4abac2,,,LOINC:39235-1,"Methylenedioxymethamphetamine screen, urine",,,,,,Test,Coded,,,,,,,,,,,,,,163748AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;163747AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
b9e03e83-9f01-4fc9-b0bc-6ecf52c77e0d,,,LOINC:39240-1,"Methadone screening, urine",,,,,,Test,Coded,,,,,,,,,,,,,,163748AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;163747AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
163426AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:252305002,CIEL:163426;LOINC:43394-6,"Combined % of monocytes, eosinophils and basophils","Mélangés en pourcentage (monocytes, des éosinophiles et des basophiles), les cellules sanguines",Mixed %,,"A lab test obtained by summing the monocytes, eosinophils and basophils.",,Test,Numeric,0.0,,1.0,10.0,,50.0,%,No,,,,,,,
1339AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,AMPATH:1339;SNOMED CT:271037006;CIEL:1339;IMO ProcedureIT:1072362;LOINC:744-3,Monocytes (%) - microscopic exam,Monocytes (%),,,"Large, circulating, phagocytic white blood cells, having a single well-defined nucleus and very fine granulation in the cytoplasm. Monocytes constitute from 3 to 8 percent of the white blood cells in humans.  This is a microscopic exam.",,Test,Numeric,0.0,,,,,100.0,%,No,,,,,,,
1330AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,SNOMED CT:30630007;AMPATH:1330;CIEL:1330;IMO ProcedureIT:601440;PIH:6675;LOINC:751-8,ABSOLUTE NEUTROPHIL COUNT,,,,"Absolute neutrophil count (ANC) is a measure of the number of neutrophil granulocytes (also known as polymorphonuclear cells, PMN's, polys, granulocytes, segmented neutrophils or segs) present in the blood. Neutrophils are a type of white blood cell that fights against infection. ANC = (%neutrophils + %bands) x WBC",,Test,Numeric,0.0,,,,,,10^3/uL,No,,,,,,,
1336AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,SNOMED CT:30630007;PIH:3060;AMPATH:1336;CIEL:1336;IMO ProcedureIT:1060713;LOINC:770-8,Neutrophils (%) - microscopic exam,Neutrophiles (%),,,"Test to find, count and examine Neutrophils the type of white blood cell which form an early line of defence against bacterial infections by using microscopic exam",,Test,Numeric,0.0,,,,,100.0,%,No,,,,,,,
163708AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:113076002,CIEL:163708;PIH:14199;LOINC:6749-6,Glucose tolerance test 5 specimens (75g) panel,"Panel glucose test de tolérance, 5 Specimens (75g)",,,A series of tests to measure blood glucose over a 4-hour period of time after drinking a 75 gram bottle of glucose solution.,,LabSet,N/A,,,,,,,,,,,,,,,163594AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;163703AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;163704AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;163705AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;163706AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;163707AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
abb61ab1-27c5-4c6e-83e9-d0e33f0b2eeb,,,LOINC:39245-0,"Phencyclidine screen, urine",,,,,,Test,Coded,,,,,,,,,,,,,,163748AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;163747AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
b669ba2f-5c77-4fb1-990d-34d72dd7d24c,,,LOINC:59419-0,PLCC,,,,,,Test,Numeric,,,,,,,10^9/L,No,,,,,,,
166017AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,LOINC:33762-6,N-terminal pro brain natriuretic peptide (NT-proBNP) measurement,,NT-proBNP measurement,,,,Test,Numeric,0.0,,,,,,,Yes,,,,,,,
165953AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,LOINC:33959-8,"Procalcitonin measurement, serum/plasma",,PCT measurement,,,,Test,Numeric,0.0,,,,,,ng/ml,No,,,,,,,
91ba7747-7801-4559-8445-c8050df78ff8,,,LOINC:39247-6,"Propoxyphene screen, urine",,,,,,Test,Coded,,,,,,,,,,,,,,163748AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;163747AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
161481AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,SNOMED CT:396451008;CIEL:161481;IMO ProcedureIT:4199;LOINC:5964-2,Prothrombin time,Temps de Prothrombine,PT,,,,Test,Numeric,0.0,,,,,,Minute,Yes,,,,,,,
166395AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,LOINC:4679-7,Absolute reticulocyte count,Reticulocytes absolute,ARC,ARC,,,Test,Numeric,0.0,,,,,,,No,,2,,,,,
161462AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,SNOMED CT:386148007;CIEL:161462;LOINC:11457-6,Slit skin smear for acid fast bacilli,,,,,,Test,Coded,,,,,,,,,,,,,,1365AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1363AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;664AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1364AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1362AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
165539AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,LOINC:32173-8,Wet mount of skin snip for Onchocerca,Recherche de filariose,,,,,Test,Coded,,,,,,,,,,,,,,664AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;703AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
e87ffd20-cf8f-4f1a-be4f-e65da34c4cc3,true,,LOINC:6579-0,THROAT SWAB CULTURE,,,,A throat culture is a laboratory diagnostic test to isolate and identify organisms that may cause infection in the throat. Sampling is performed by throat swab,,LabSet,N/A,,,,,,,,,,,,,,,
717AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,SNOMED CT:270992008;AMPATH:717;CIEL:717;IMO ProcedureIT:34405511;LOINC:2885-2,Total protein,Protéines totales,,,Total protein measured in plasma or serum,,Test,Numeric,0.0,,,,,,g/dL,Yes,,,,,,,
8983cd9d-8808-499a-9f3b-c3b44c8127ad,,,LOINC:697-3,Urethral Culture and Sensitivity Test,,,,,,Test,Coded,,,,,,,,,,,,,664AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;703AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,664AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;703AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
161484AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:252390002,CIEL:161484;LOINC:637-9,Pus culture and sensitivity,,Pus C/S,,,,Test,Coded,,,,,,,,,,,,,,664AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;703AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
165984AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,LOINC:2744-1,pH of arterial blood,,Arterial pH,,,,Test,Numeric,0.0,,,,,,,Yes,,,,,,,
165985AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,LOINC:30313-1,Hemoglobin in arterial blood (mass/volume),,,,,,Test,Numeric,0.0,,,,,,,No,,,,,,,
165927AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,LOINC:3150-0,Inspired oxygen concentration (percent),,FiO2,,,,Finding,Numeric,0.0,,,,,100.0,%,No,,,,,,,
165986AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,LOINC:3151-8,Delivered oxygen flow rate (L/m),,O2 flow,,,,Question,Numeric,0.0,,,,,,L/m,Yes,,,,,,,
5088AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,LOINC:8310-5,Temperature (C),TEMPÉRATURE (C),TEMP (C),,Patient's temperature in degrees centigrade.,,Finding,Numeric,25.0,,,,,43.0,DEG C,Yes,,,,,,,
160232AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,SNOMED CT:165745004;CIEL:160232;SNOMED CT:363783003;IMO ProcedureIT:923245;PIH:20034,Rhesus blood grouping test,Groupe sanguin - rhesus,Rh factor,,,,Test,Coded,,,,,,,,,,,,,,664AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;703AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
161233AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,SNOMED CT:41902000;CIEL:161233;LOINC:10386-3,Blood cross-matching,,,,Lab test that is performed prior to a blood transfusion in order to determine if the donor's blood is compatible with the blood of an intended recipient.,,Test,Coded,,,,,,,,,,,,,,163433AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;163434AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1619AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,SNOMED CT:19869000;PIH:1478;AMPATH:299;CIEL:1619;IMO ProcedureIT:923450;LOINC:20507-0,RAPID PLASMA REAGIN,Réagine rapide,,,,,Test,Coded,,,,,,,,,,,,,,1067AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;664AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;703AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
162101AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,SNOMED CT:365669006,CIEL:162101;LOINC:32167-9,Urine turbidity,Apparence de l'urine,,,,,Test,Coded,,,,,,,,,,,,,,162102AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;162103AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;162104AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
160735AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,CIEL:160735;SNOMED CT:167316004;LOINC:25145-4,"Bacteriuria test, urine","Test Bactériurie, urine",,,Test for bacteria in urine. Can be done by dipstick or microscopic methods.,,Test,Coded,,,,,,,,,,,,,,703AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;664AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1118AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1067AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1138AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1319AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,AMPATH:1319;SNOMED CT:74765001;CIEL:1319;IMO ProcedureIT:21649014;LOINC:731-0,LYM#,,LYMPHOCYTE COUNT,,Immunology Test - CD45 plus lymphocyte count.,,Test,Numeric,,,,,,,cells/uL,Yes,,,,,,,
1331AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,AMPATH:1331;CIEL:1331;IMO ProcedureIT:21649018;LOINC:5905-5;PIH:6674;SNOMED CT:365631001,ABSOLUTE MONOCYTE COUNT,,,,A monocyte count is part of a complete blood count and is expressed by absolute numbers.  Increase a monocyte count include: - chronic inflammation - stress response - hyperadrenocorticism - immune mediated disease - pyogranulomatous disease - necrosis - red cell regeneration.,,Test,Numeric,,,,,,,10^3/uL,No,,,,,,,
1333AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,AMPATH:1333;CIEL:1333;IMO ProcedureIT:853158;LOINC:704-7;PIH:6677;SNOMED CT:42351005,ABSOLUTE BASOPHIL COUNT,,,,"Basophils are the least common of the granulocytes, representing about 0.5% to 1% of circulating leukocytes.",,Test,Numeric,,,,,,,10^3/uL,No,,,,,,,
a2ee5d09-0ab1-4f82-b18e-57a399b5343d,,,LOINC:771-6,Nucleated Red Blood Cell %,,Nucleated Red Blood Cell %,,Percentage of nucleated RBCs among white cells.,,Test,Numeric,0,,0,0,,,%,Yes,1,,,,,,
6e96896d-bd71-4ee0-82a0-649e7fa75162,,,CIEL:169046;LOINC:26508-2,Granulocyte count,,,,,,Test,Numeric,,,,,,,10^3/uL,Yes,,,,,,,
985bf352-a237-4db9-bd76-aeabe3bfbc75,,,CIEL:169047;LOINC:26511-6,Granulocyte %,,,,,,Test,Numeric,,,35,80,,,%,Yes,,,,,,,
1307AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,AMPATH:1307;CIEL:1307;IMO ProcedureIT:1847734;LOINC:1307;SNOMED CT:75672003,MEAN PLATELET VOLUME,,,,"Mean platelet volume (MPV) is a machine-calculated measurement of the average size of your platelets. New platelets are larger, and an increased MPV occurs when increased numbers of platelets are being produced. MPV gives your doctor information about platelet production in your bone marrow.",,Test,Numeric,,,7.4,10.4,,,fL,Yes,,,,,,,
1308AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,AMPATH:1308;CIEL:1308;IMO ProcedureIT:924159;LOINC:13056-8;SNOMED CT:250314004,PLATELETCRIT,,,,A measurement derived from the platelet count and the mean platelet volume.,,Test,Numeric,,,0.2,0.5,,,%,Yes,,,,,,,
56AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,AMPATH:56;CIEL:56;LOINC:11279-7;SNOMED CT:127800008,Urine microscopy,,,,"Evalution of urine under the microscope, usually for cells, crystals, and/or infecting organisms.",,Test,Text,,,,,,,,,,,,,,,
849AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,AMPATH:849;CIEL:849;IMO ProcedureIT:923235;LOINC:1754-1;SNOMED CT:271000000,Urinary albumin,,,,"Laboratory test for albumin in the urine in mass/volume units (mcg/ml, mg/L)",,Test,Numeric,0,,,,,,,No,,,,,,,
1309AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,AMPATH:1309;CIEL:1309;IMO ProcedureIT:1064088;LOINC:32207-3;SNOMED CT:250313005,Platelet Distribution Width,,,,"Derived from direct flow cytometric measurement of platelet cell volume, it is increased in the presence of platelet anisocytosis.",,Test,Numeric,,,8,18,,,%,Yes,,,,,,,
163683AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,CIEL:163683;LOINC:32776-7,Erythrocytes presence in urine sediment by light microscopy test,,,,A lab test to identify the presence of erythrocytes (red blood cells) in urine under a light microscope.,,Test,Coded,,,,,,,,,,,,,,,
163684AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,CIEL:163684;LOINC:20455-2;PIH:14236;SNOMED CT:252385000,Leukocytes presence in urine sediment by light microscopy,,,,A lab test to identify the presence of leukocytes in urine under a light microscope.,,Test,Coded,,,,,,,,,,,,,,,
163692AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,CIEL:163692;LOINC:25157-9;SNOMED CT:102838008,Epithelial casts urine test,,,,A lab test used to determine the presence of epithelial casts in urine specimen using a light microscope.,,Test,Coded,,,,,,,,,,,,,,,
163686AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,CIEL:163686;LOINC:32356-8,Yeast presence in urine sediment by light microscopy,,,,A lab test to identify the presence of yeast cells in the urine using a light microscope.,,Test,Coded,,,,,,,,,,,,,,,
163687AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,CIEL:163687;LOINC:41865-7,Yeast hyphae presence in urine sediment by light microscopy test,,,,A lab test to identify the presence of hyphae yeast in urine using a light microscope.,,Test,Coded,,,,,,,,,,,,,,,
163688AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,CIEL:163688;LOINC:6629-6,Spore presence in urine test,,,,A lab test used to determine the presence of fungal spores in urine specimen using a light microscope.,,Test,Coded,,,,,,,,,,,,,,,
163689AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,CIEL:163689;LOINC:5813-1,Trichomonas vaginalis presence in urine sediment by light microscopy,,,,A lab test used to determine the presence of trichomonas vaginalis in urine specimen using a light microscope.,,Test,Coded,,,,,,,,,,,,,,,
163696AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,CIEL:163696;LOINC:24124-0;SNOMED CT:365689007,Casts presence in urine sediment by light microscopy test,,,,A lab test used to determine the presence of casts in urine specimen using a light microscope.,,Test,Coded,,,,,,,,,,,,,,,
163695AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,CIEL:163695;LOINC:5782-8;SNOMED CT:365688004,Crystals type in urine sediment by light microscopy test,,,,A lab test used to determine the presence of crystals in urine specimen using a light microscope.,,Test,Coded,,,,,,,,,,,,,,,
